name,date,content,share,retweet,like,,,,,,
adolf,2021年1月1日,May we live in positive times...bye bye #Trump #Brexit #Covid  #HappyNewYear2021,5,2,41,,,,,,
 EA_269,2021年1月1日,"Booked on duty for #NewYearsEve 

Having attended an address and advised the occupants to end their party. We left to allow them time for this. 

When we re-attended the party had not ended. 

My first ever #COVID #Ticket issued. 

Have a #Safe #NYE",8,3,55,,,,,,
 RicharLisa,2021年1月1日,I have done a lot of back and forth between the #covid ward and the ICU these past few days. Just had one of those sobering conversations with a colleague about how the Italy first wave stories about triaging once seemed unimaginable.  And now...,1,10,46,,,,,,
 Mattl_w,2021年1月1日,"Fantastic new year message from 
 BorisJohnson
 True leadership. Anyone who truly thinks the crisis was created to take control & our freedom is certifiably nuts. That’s fundamentally not what the Conservatives or Boris are about! #GoodBye2020 #borisjohnson #HappyNewYear2021 #Covid",1,4,17,,,,,,
 BradLindenSoCal,2021年1月1日,"I'm going to have a low-key #NewYearsEve this year.
I still feel crummy from #Covid. But I can breathe.
Plus we're under strict #StayAtHome lockdown here in #LosAngeles 
So I'll be home alone in bed watching TV & #tweeting with all of you, my #Twitter friends. #HappyNewYear! ",12,4,47,,,,,,
 thereal_truther,2021年1月1日,"My desert island all time, top 5 #COVID villains of 2020

As we thankfully end this year I want to take a moment to award the top 5 #COVID villains of the year (#HighFidelity style.)

A THREAD",7,9,45,,,,,,
 rachelburden,2021年1月1日,"Bedtime. I’ll tell you what’s happening in the morning if that’s ok. It’s basically #covid and #brexit. Not everyone’s New Year’s Day palate cleanser I’ll give you that. But we always try to do it with a smile. #HNY 
 bbc5live
 6-10am",28,2,313,,,,,,
 JoanneReynard,2021年1月1日,"2020 was the year of the nurse  I am proud to be an #IPN and part of 
 IPS_Infection
 - #Covid thanks to 
 CNOEngland
 
 Lindajdempster
 
 patcp66
 
 Lisaritchie111
  for the Helping the IPNs this year - it’s not over and we need to help each other ! 2021 will be even better !!",1,5,27,,,,,,
 JohnathanPerk,2021年1月1日,"FYI both Republicans, Loeffler and Perdue, in the two #Georgia runoffs have had to quarantine after close contact with someone with #Covid.",1,6,21,,,,,,
 paulknight14,2021年1月1日,We have to be realistic in that 2021 isn't going to be a quick fix but hopefully by 2022 we will be #Covid free ,1,1,8,,,,,,
 ShehuSani,2021年1月1日,"There were 4 heroes of d year 2020;The military,policemen & vigilantes who laid their lives in the battle against Banditry & terrorism.The Victims of insecurity.The Medics who sacrificed or risked their lives for #COVID & The #EndSARs protesters who challenged the establishment.",71,327,1508,,,,,,
 paris_gfr,2021年1月1日,"What a year. #COVID, #racialjustice uprisings, natural disasters & more have compounded stresses many of us felt even before the pandemic. That being said, I'm grateful to still have a voice that resonates.  Thx to all who listen. Let's leave this raggedy bitch in the rearview.",8,19,82,,,,,,
 hwijeysundera,2021年1月1日,"#covid has made for a long 2020.  I was administering vaccines 
 Sunnybrook
 today - easily the best clinical part of the pandemic for me. An efficient process & truly happy faces everywhere.  Even a #cardio could not screw up the IM injection. hope this is the beginning of the end",6,9,122,,,,,,
 JerryBarmash,2021年1月1日,"January will likely be the worst of the pandemic. In New York, approaching the new year, the positive rate is now 7.76%. Hospitalizations near 8,000. #Covid",1,1,1,,,,,,
 bagshaw2112,2021年1月1日,"Quick poll . 
Are you sticking to your tier rules this evening  , or breaking them? #NewYearsEve #Covid #Covid_19 #Tier3 #tier4",,,,,,,,,
 CleddauRacing,2021年1月1日,It’s New Years so time to make a profound statement ....... piss off 2020!  #Covid #COVID19 #NewYearsEve,1,1,6,,,,,,
 MickyMiriti,2021年1月1日,"To everyone who lost someone to #COVID this year, to some of us who nearly lost loved ones and all those dealing with the virus and the financial & emotional burden it brings, I pray for a warmer and progressive 2021 for you.

Rest In Peace to all who passed away.",2,8,21,,,,,,
 BDonorsPakistan,2021年1月1日,"A lovely person like an elder brother passed away today due to #COVID. May he be exalted at best ranks in Jannah,Amen. His death is not included in national death count as he was not admitted in any hospital. Likewise, I think our majority of mortalities are undocumented.",3,15,8,,,,,,
 dr_irfan_malik,2021年1月1日,Lost a patient to #Covid - just aged 32 yrs - RIP ,17,9,48,,,,,,
 AlexBerenson,2021年1月1日,"1/ So 30 people out of 15,000 who received the placebo in the 
 moderna_tx
 vaccine trial suffered “severe” #Covid. None who got the vaccine did. A triumph for science!

Except. “Severe” Covid was defined as having oxygen saturation under 93%. That’s why nearly everyone qualified.",37,191,663,,,,,,
 mrsdurkinmuses,2021年1月1日,"Remember when you were appalled that 100,000 might die from #Covid ?",2,4,6,,,,,,
 Dr_Ellie,2021年1月1日,"Just to help people realise, my local vaccination hub has 1000 second vaccine appointments to postpone.  

Many patients over 80/90 and only have landline - we can’t text or email en masse. 

Many staff off sick with #Covid so this is manpower we don’t have.  

Logistics matter",77,56,349,,,,,,
 WrathOfKhan2016,2021年1月1日,"The level of incompetence in how the distribution of the vaccine is being handled is staggering. 

We would have been better off waiting until 1/20 to have a national plan implemented.  State governments and hospital systems are in way over their heads. 

#COVID",2,7,36,,,,,,
