name,date,content,share,retweet,like
Dry_Tinder2,01/01/2022,"Great end to god-forsaken yr (if I believed in a god).
So nice to tell my son on phone today that 367 days after we buried his grandmother thanks to #Covid,he has a mom who has it.

F#ck u 
@fordnation
 & our corporate,avaristic,  endangering world & a special FU to 
@kieranmoore",2 ,3 ,14 
Elyssamai,01/01/2022,"After 3 negative tests I finally tested positive for #Covid. The cherry on top to end a really shitty year. I’m sure I’ll start a controversy but #ivermectin has absolutely been beneficial to a speedy recovery. I stand with 
@joerogan",33 ,5 ,110 
drpatfarrell,01/01/2022,"Gee, do you think Fl ron is sick? I sure hope he gets all that stuff he's been pushing to make himself wealthy. #desantis #Florida #GOP #covid",1 ,2 ,5 
NAFD_UK,01/01/2022,"1/2 Congratulations 
@jmdfield
 on your OBE in the #2022NewYearsHonours for services to the #funeral profession during #COVID. Throughout the pandemic, Jeremy has given up hours of his time, often on a 24/7 basis, despite considerable pressures as a working FD for 
@CPJField
.",2 ,6 ,20 
EbonyJHilton_MD,01/01/2022,If you have #LongCOVID and were NOT #hospitalized aka you had #Asymptomatic or “#Mild” #COVID as they call it. I’m trying to see something… and by trying to see something I mean trying to show the world you #Exist. And that NOTHING is #mild about #COVID19,18 ,37 ,197 
JumaaneWilliams,01/01/2022,"Learning to live with #COVID will be a balance.

It's ok to have the traditional ball drop event tonight, but 15k ppl onsite is still too many. And while onsite vax card checks are good, an added protection of a test requirment during this surge may have helped.

Stay safe NYC",21 ,8 ,66 
team_greenhalgh,01/01/2022,"Our #firefighters + fire staff have again risen to the challenge this year. They’ve continued their vital work to prevent + tackle fires, while also supporting the national effort to fight #Covid. Congratulations to all those recognised in the New Years Honours. #ImHonoured",2 ,3 ,27 
JuliaIrwinator,01/01/2022,"Bad news to start 2022 with another jump in case numbers and 9 #Covid deaths in the past 24 hrs. There were 7442 new COVID19 cases from a 63,026 tests in the past 24 hours. Yesterday Health Minister 
@MartinFoleyMP
 said majority were #Delta rather than #Omicron in #Victoria",1 ,1 ,3 
devanegas,01/01/2022,"#mentalhealth #Goals achieved ‘21 (among what really matters):

- 365 days meditating (FY streak; 3rd year in a row)
- 17.4Hs #fasting/day FY (+0.4 PY)
- training #Crossfit/#running >= 5 days/week FY (except #Covid period)
- annual medical results: everything in range

#grateful",1 ,1 ,1 
menlobear,01/01/2022,"Something to watch closely next week:

There's a battle underway between those who think Omicron is ""just a cold"" & signals the end of #COVID and those who calculate it will overwhelm our health care system

The market will behave very differently based on who proves to be right",15 ,7 ,87 
IslandSocTrends,01/01/2022,BC has now prioritized pregnant #women for #COVID #boosters if they are 6 months (182 days) past their second dose. Dr Henry said today these women should call the BC Vaccination call centre 1-833-838-2323 to book a booster appointment. #pregnancy #BoosterShots #GetVaxxed #bcpoli,1 ,3 ,4 
HollyBriden,01/01/2022,I have recently come into possession of several hundred Covid home-testing kits.  Does anyone know the optimal number of times per day to test? #Covid,66 ,5 ,138 
sinincx,01/01/2022,"Things I could do without hearing in 2022 but will have to put up with  :

#covid 
#antivax 
#antimask 
#NFT 
#crypto
#buythedip 
#Cloud 
#CloudComputing
#Azure 
#Aws
#inflation 
#influencers 
#Brexit",1 ,3 ,3 
Viren077,01/01/2022,"Happy New Year to all you lovely people out there 

Cheers to a Year full of happiness, love, productivity and the end of Mr. #COVID soon. #HappyNewYear

#2022NewYear let's roll out the red carpet",7 ,,37 
MrOnuczko,01/01/2022,"Alberta’s new #COVID plan seems to be: Everyone is gonna get it, but let’s work together to make sure we take turns getting infected. Those that have three doses probably won’t die, so make sure you get all your shots. Oh and we DGAF about 0-4yr olds. #ABCOVID #abpoli #canpoli",2 ,4 ,20 
GrandmaShark18,01/01/2022,"I am not going out at all. I’m glad I can stay at home. I love my kids & grandkids so I won’t ever put them at risk of #Covid . #MAGA #Republicans  Stop being so selfish. 
@DeadlineWH
 #inners",1 ,,6 
EbonyJHilton_MD,01/01/2022,A #Chef not being able to #Taste or #Smell due to #COVID will cost them their entire #Livelihood… that’s not #Mild.,7 ,46 ,311 
farjad99,01/01/2022,Praying #COVID won’t subvert my holiday travel plans.,3 ,2 ,8 
MikeDunnAuthor,01/01/2022,"U.S. had record 378 #kids hospitalized daily w/ #Covid Dec 22-28, 66% incr from prior week. UK had 564 juvenile hospitalizations last week. 

#FauciLied #WalenskyLied 
#Omicron IS dangerous for kids
#CloseTheSchools & all nonessential business
Full pay for #workers
#GeneralStrike",1 ,,
darosman,01/01/2022,"#omicron out of control. There aren’t enough tests. Hospitals are running short of staff and beds.  Please #StayHome tonight or only do outdoor events with a good mask and distance. Someone invite you to a big #party, #bar, #restaurant ? Skip it. #Covid",1 ,1 ,1 
vivekbajpai84,01/01/2022,"UK reports a record 189,846 #Covid-19 cases in a day",2 ,2 ,5 
EarlOfSidmouth,01/01/2022,"If you’re going out tonight, don’t be a twat and get so shit-faced that you need to go to hospital. They’re a bit busy.

#NewYearsEve #Covid",1 ,6 ,37 
tongs_ya_bass,01/01/2022,"Some incredibly disappointed voices on 
@BBCRadioScot
 as they report a fall of around 5,000 #Scottish #Covid cases since yesterday.
Doesn't quite fit their '#Scotland is doing this all wrong' narrative.
Now sit back and watch England's figures rocket!",8 ,74 ,207 
nehakhanna_07,01/01/2022,"Delhi records 1,796 fresh #COVID cases in the last 24 hours. A 7 month high. The Delhi Government says 50% of all cases in the city are #Omicron cases. Stay safe Delhi and #MaskUp",3 ,9 ,47 
pooja_news,01/01/2022,"Shortest travel time between 2020-2022. 

Thanks to #Covid!",7 ,12 ,167 
