name,date,content,share,retweet,like
Dontsweatthesm5,03/15/2022,"200 patients admitted to hospital with #COVID in the past 72 hours. An average this past week of apx 60 a day. How  does “ we are in a good place now” seem to those 200 people ? 
@adriandix
 
@jjhorgan",4,44,109
petedroberts,03/15/2022,Is anyone else who has been looking at #covid stats since the beginning starting to get a huge 2 years on feeling of deja vue watching this years #CheltenhamFestival in the middle of the far more contagious BA2 omicron wave?,7,17,49
thenewsoncnbc,03/15/2022,"Coming up on The News:
The latest on #Russia's invasion of #Ukraine with reporting from 
@CalNBC
, 
@kaylatausche
 and 
@selectedwisdom


@VCastroTV
 and 
@perryrussom
 on attacks against homeless men in NYC & D.C.

@onlyyoontv
 on the #COVID outbreak in China
7PM ET 
@CNBC",1,7,22
SheriaRobinson,03/15/2022,#LongCovid town hall folks out 2 years with no smell/ taste. Causing safety issues like diabetes management and identifying fire. Some who regain smell lose again with #Covid flare up.,3,25,57
BlindedBite,03/15/2022,Two of my coworkers & their spouses have Covid - today is the first day of no masks here in #Seattle …. It’s not going well #COVID #CovidIsNotOver #GetVaccinated  #NotTakingOffMyMask,2,2,2
Norlaine,03/15/2022,"You know when you get sick and the doctor gives you antibiotics, and you take them and start feeling better, and stop taking your antibiotics and then you get even worse? That is what it feels like the UCP has done with #COVID measures. Over and over.",4,3,32
sophierosenblum,03/15/2022,"Two years ago I was in 
@WholeFoods
 wondering if my kid's preschool was going to be closed for longer than winter break. Now I spend each day w 
@ImmunizeUnder5s
 advocating for #Covid vaccines for kids under 5 & haven't been in a supermarket in 2 years #MaskUp #CovidIsNotOver",2,13,66
CaptDrimmie,03/15/2022,#Covid is making a comeback - perhaps there’s a #RussiaUkraineWar peace deal on the way…,3,5,34
criticalcarej,03/15/2022,"I’m not doing wave 6. This experienced critical care RN is out. I have left healthcare permanently. I am now teaching at a Sr high school and wow! So positive. The students are so inspiring. Bye bye nursing. 
@adriandix
 
@jjhorgan
 #COVID #Omicron #BA2variant",43,84,532
common_nonsense,03/15/2022,"My 15 yr old Granddaughter has #Covid. They stopped wearing masks at her school at the beginning of 2022. 

If you could spare a #prayer or good vibes I’d appreciate it. She has asthma & is having trouble breathing

She’s also just getting over #StrepThroat",26,17,102
tomlins_amanda,03/15/2022,"As #COVID cases and hospitalisations rise, all #CEV #severely #immunosuppressed/#immunocompromised face increased risk of severe illness and death. When will 
@MHRAgovuk
 approve preventative #Evusheld, and the #Government provide #UK #CEV with access to it?",1,12,24
